Week,Location,Value
2022-24,yorkshire,122.5717508
2022-24,london-suburban,123.3367517
2022-24,manchester,102.1321725
2022-24,london-west-end,100.6686774
2022-24,london-stations,103.3136933
2022-24,regional-towns,100.9094931
2022-24,scotland,93.53259675
2022-24,london-airports,130.6275178
2022-24,london-city-worker,87.73401561
2022-24,regional-stations,93.32861715
2022-25,yorkshire,123.2836195
2022-25,london-suburban,120.0084869
2022-25,manchester,96.66481994
2022-25,london-west-end,83.44348481
2022-25,london-stations,77.76300265
2022-25,regional-towns,75.64623175
2022-25,scotland,86.38388843
2022-25,london-airports,137.6986669
2022-25,london-city-worker,62.08047323
2022-25,regional-stations,61.08029298
