Date,Industry,Value,Category,Measure,Unit
2020-08,administrative-and-support-services,86.5,jobs,100-equivalent-month-of-2019,index
2020-08,other-services,92.0,jobs,100-equivalent-month-of-2019,index
2020-08,health-care-and-social-assistance,92.7,jobs,100-equivalent-month-of-2019,index
2020-09,manufacturing,90.4,jobs,100-equivalent-month-of-2019,index
2020-09,construction,93.2,jobs,100-equivalent-month-of-2019,index
2020-09,retail-trade,93.2,jobs,100-equivalent-month-of-2019,index
2020-09,accommodation-and-food-services,73.1,jobs,100-equivalent-month-of-2019,index
2020-09,information-media-and-telecommunications,103.1,jobs,100-equivalent-month-of-2019,index
2020-09,rental-hiring-and-real-estate-services,86.7,jobs,100-equivalent-month-of-2019,index
2020-09,professional-scientific-and-technical-services,96.6,jobs,100-equivalent-month-of-2019,index
2020-09,administrative-and-support-services,88.3,jobs,100-equivalent-month-of-2019,index
2020-09,other-services,88.7,jobs,100-equivalent-month-of-2019,index
2020-09,health-care-and-social-assistance,95.3,jobs,100-equivalent-month-of-2019,index
2020-10,manufacturing,91.7,jobs,100-equivalent-month-of-2019,index
2020-10,construction,96.6,jobs,100-equivalent-month-of-2019,index
2020-10,retail-trade,100.0,jobs,100-equivalent-month-of-2019,index
2020-10,accommodation-and-food-services,74.3,jobs,100-equivalent-month-of-2019,index
2020-10,information-media-and-telecommunications,105.4,jobs,100-equivalent-month-of-2019,index
2020-10,rental-hiring-and-real-estate-services,88.6,jobs,100-equivalent-month-of-2019,index
2020-10,professional-scientific-and-technical-services,98.1,jobs,100-equivalent-month-of-2019,index
2020-10,administrative-and-support-services,89.8,jobs,100-equivalent-month-of-2019,index
2020-10,other-services,89.8,jobs,100-equivalent-month-of-2019,index
2020-10,health-care-and-social-assistance,94.3,jobs,100-equivalent-month-of-2019,index
2020-11,manufacturing,89.1,jobs,100-equivalent-month-of-2019,index
2020-11,construction,95.3,jobs,100-equivalent-month-of-2019,index
2020-11,retail-trade,99.4,jobs,100-equivalent-month-of-2019,index
2020-11,accommodation-and-food-services,68.9,jobs,100-equivalent-month-of-2019,index
2020-11,information-media-and-telecommunications,104.1,jobs,100-equivalent-month-of-2019,index
2020-11,rental-hiring-and-real-estate-services,84.9,jobs,100-equivalent-month-of-2019,index
2020-11,professional-scientific-and-technical-services,96.8,jobs,100-equivalent-month-of-2019,index
2020-11,administrative-and-support-services,89.8,jobs,100-equivalent-month-of-2019,index
2020-11,other-services,85.7,jobs,100-equivalent-month-of-2019,index
2020-11,health-care-and-social-assistance,96.3,jobs,100-equivalent-month-of-2019,index
2020-12,manufacturing,89.1,jobs,100-equivalent-month-of-2019,index
2020-12,construction,94.7,jobs,100-equivalent-month-of-2019,index
2020-12,retail-trade,99.1,jobs,100-equivalent-month-of-2019,index
2020-12,accommodation-and-food-services,67.1,jobs,100-equivalent-month-of-2019,index
2020-12,information-media-and-telecommunications,104.5,jobs,100-equivalent-month-of-2019,index
2020-12,rental-hiring-and-real-estate-services,85.6,jobs,100-equivalent-month-of-2019,index
2020-12,professional-scientific-and-technical-services,97.5,jobs,100-equivalent-month-of-2019,index
2020-12,administrative-and-support-services,88.9,jobs,100-equivalent-month-of-2019,index
2020-12,other-services,87.7,jobs,100-equivalent-month-of-2019,index
2020-12,health-care-and-social-assistance,96.1,jobs,100-equivalent-month-of-2019,index
2021-01,manufacturing,96.5526,jobs,100-equivalent-month-of-2019,index
2021-01,construction,97.2115,jobs,100-equivalent-month-of-2019,index
2021-01,retail-trade,99.4986,jobs,100-equivalent-month-of-2019,index
